n_legal_moves,n_pieces,material_balance,is_endgame,king_in_check,eval_before_cp,eval_volatility,prev_delta_cp,move_number,game_phase,player_to_move,player_rating,prev_was_blunder,is_blunder,is_mistake,quality,delta_cp,move_uci,fen_before,game_id,white_name,black_name,event,game_date,game_result
20,32,0,0,0,69,0.0,0,1,opening,white,1500,0,0,0,good,-41,d2d4,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0,Magnus Carlsen,Hans Niemann,January 06 2026,2026.01.06,1-0
20,32,0,0,0,28,20.5,-41,2,opening,black,1500,0,0,0,good,-10,d7d5,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,0,Magnus Carlsen,Hans Niemann,January 06 2026,2026.01.06,1-0
27,32,0,0,0,38,17.45470328211473,-10,3,opening,white,1500,0,0,0,good,-4,c2c4,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,0,Magnus Carlsen,Hans Niemann,January 06 2026,2026.01.06,1-0
28,32,0,0,0,34,15.848895860595462,-4,4,opening,black,1500,0,0,0,good,-2,c7c6,rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,0,Magnus Carlsen,Hans Niemann,January 06 2026,2026.01.06,1-0
30,32,0,0,0,36,14.394443372357264,-2,5,opening,white,1500,0,0,0,good,1,g1f3,rnbqkbnr/pp2pppp/2p5/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,0,Magnus Carlsen,Hans Niemann,January 06 2026,2026.01.06,1-0
29,32,0,0,0,37,3.555277766926235,1,6,opening,black,1500,0,0,0,good,1,g8f6,rnbqkbnr/pp2pppp/2p5/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 1 3,0,Magnus Carlsen,Hans Niemann,January 06 2026,2026.01.06,1-0
32,32,0,0,0,36,1.3266499161421599,1,7,opening,white,1500,0,0,0,good,-8,g2g3,rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 2 4,0,Magnus Carlsen,Hans Niemann,January 06 2026,2026.01.06,1-0
31,32,0,0,0,28,3.249615361854384,-8,8,opening,black,1500,0,0,0,good,-6,c8g4,rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/5NP1/PP2PP1P/RNBQKB1R b KQkq - 0 4,0,Magnus Carlsen,Hans Niemann,January 06 2026,2026.01.06,1-0
32,32,0,0,0,34,3.249615361854384,-6,9,opening,white,1500,0,0,0,good,-8,b1c3,rn1qkb1r/pp2pppp/2p2n2/3p4/2PP2b1/5NP1/PP2PP1P/RNBQKB1R w KQkq - 1 5,0,Magnus Carlsen,Hans Niemann,January 06 2026,2026.01.06,1-0
33,32,0,0,0,26,4.4,-8,10,opening,black,1500,0,0,0,inaccuracy,-60,d5c4,rn1qkb1r/pp2pppp/2p2n2/3p4/2PP2b1/2N2NP1/PP2PP1P/R1BQKB1R b KQkq - 2 5,0,Magnus Carlsen,Hans Niemann,January 06 2026,2026.01.06,1-0
34,31,-100,0,0,86,22.3069495897579,-60,11,middlegame,white,1500,0,0,0,inaccuracy,-81,f1g2,rn1qkb1r/pp2pppp/2p2n2/8/2pP2b1/2N2NP1/PP2PP1P/R1BQKB1R w KQkq - 0 6,0,Magnus Carlsen,Hans Niemann,January 06 2026,2026.01.06,1-0
35,31,-100,0,0,5,26.93993318477238,-81,12,middlegame,black,1500,0,0,0,good,29,b8d7,rn1qkb1r/pp2pppp/2p2n2/8/2pP2b1/2N2NP1/PP2PPBP/R1BQK2R b KQkq - 1 6,0,Magnus Carlsen,Hans Niemann,January 06 2026,2026.01.06,1-0
37,31,-100,0,0,-24,36.340610891948415,29,13,middlegame,white,1500,0,0,0,good,-7,e1g1,r2qkb1r/pp1npppp/2p2n2/8/2pP2b1/2N2NP1/PP2PPBP/R1BQK2R w KQkq - 2 7,0,Magnus Carlsen,Hans Niemann,January 06 2026,2026.01.06,1-0
32,31,-100,0,0,-31,42.10748152050891,-7,14,middlegame,black,1500,0,0,0,good,-6,e7e6,r2qkb1r/pp1npppp/2p2n2/8/2pP2b1/2N2NP1/PP2PPBP/R1BQ1RK1 b kq - 3 7,0,Magnus Carlsen,Hans Niemann,January 06 2026,2026.01.06,1-0
35,31,-100,0,0,-25,43.72367779590367,-6,15,middlegame,white,1500,0,0,0,good,-15,a2a4,r2qkb1r/pp1n1ppp/2p1pn2/8/2pP2b1/2N2NP1/PP2PPBP/R1BQ1RK1 w kq - 0 8,0,Magnus Carlsen,Hans Niemann,January 06 2026,2026.01.06,1-0
37,31,-100,0,0,-40,15.11290838985005,-15,16,middlegame,black,1500,0,0,0,inaccuracy,-98,f8b4,r2qkb1r/pp1n1ppp/2p1pn2/8/P1pP2b1/2N2NP1/1P2PPBP/R1BQ1RK1 b kq - 0 8,0,Magnus Carlsen,Hans Niemann,January 06 2026,2026.01.06,1-0
34,31,-100,0,0,58,35.657257325823586,-98,17,middlegame,white,1500,0,0,0,inaccuracy,-76,d1c2,r2qk2r/pp1n1ppp/2p1pn2/8/PbpP2b1/2N2NP1/1P2PPBP/R1BQ1RK1 w kq - 1 9,0,Magnus Carlsen,Hans Niemann,January 06 2026,2026.01.06,1-0
43,31,-100,0,0,-18,35.346286933707766,-76,18,middlegame,black,1500,0,0,0,good,-33,d8a5,r2qk2r/pp1n1ppp/2p1pn2/8/PbpP2b1/2N2NP1/1PQ1PPBP/R1B2RK1 b kq - 2 9,0,Magnus Carlsen,Hans Niemann,January 06 2026,2026.01.06,1-0
39,31,-100,0,0,15,34.97999428244665,-33,19,middlegame,white,1500,0,0,0,good,-1,c3a2,r3k2r/pp1n1ppp/2p1pn2/q7/PbpP2b1/2N2NP1/1PQ1PPBP/R1B2RK1 w kq - 3 10,0,Magnus Carlsen,Hans Niemann,January 06 2026,2026.01.06,1-0
53,31,-100,0,0,14,33.289037234501095,-1,20,middlegame,black,1500,0,0,0,good,-11,b4d6,r3k2r/pp1n1ppp/2p1pn2/q7/PbpP2b1/5NP1/NPQ1PPBP/R1B2RK1 b kq - 4 10,0,Magnus Carlsen,Hans Niemann,January 06 2026,2026.01.06,1-0
